gene,Z40dpf_MTB,Z40dpf_MT,Z60_dpf_MTB,Z60dpf_MT,ZEM_32,combined_adjpval
gene-cyyr1|cyyr1,0.855933785,3.41E-06,0.204648324,1.57E-12,0.998285831,4.25E-13
gene-adamts1|adamts1,0.292688748,6.15E-06,0.215597247,7.01E-07,0.998285831,2.49E-08
gene-adamts5|adamts5,0.535873829,0.003453521,0.977943108,4.72E-08,0.998285831,2.98E-06
gene-n6amt1|n6amt1,0.648395387,0.374864558,0.983882495,0.027369337,0.998285831,0.580021177
gene-gart|gart,0.049511971,1.62E-115,0.383821066,1.10E-168,0.998285831,0
gene-appa|appa,0.000486498,7.74E-66,0.2790274,6.25E-136,0.998285831,0
gene-LOC101886071|LOC101886071,NA,0.001262034,NA,4.29E-07,0.998285831,3.45E-07
gene-LOC100332351|LOC100332351,0.131359592,0.041054697,0.62054049,0.150808726,0.998285831,0.189799475
gene-donson|donson,0.645999013,5.67E-27,0.584181828,1.45E-42,0.999052375,0
gene-runx1|runx1,0.515364729,0.006392198,0.596140266,1.79E-06,0.998285831,5.78E-05
gene-urp2|urp2,0.297705006,NA,0.311285306,NA,0.998285831,0.734677395
gene-LOC100333907|LOC100333907,0.631892786,0.64189187,0.880104813,0.275852317,0.998285831,0.999999923
gene-si:ch211-132g1.3|si:ch211-132g1.3,0.222987689,0.100128392,0.553370495,0.00092073,0.998285831,0.020475586
gene-si:ch211-132g1.4|si:ch211-132g1.4,NA,0.000414557,0.45661584,3.76E-08,0.998285831,6.00E-08
gene-si:ch211-132g1.1|si:ch211-132g1.1,NA,0.000379857,0.961005894,0.037781088,0.998285831,0.007856145
gene-slc5a3a|slc5a3a,NA,0.372816756,0.454321406,0.001038066,0.998285831,0.04566032
gene-LOC103911757|LOC103911757,3.93E-11,1.64E-08,0.308612912,2.51E-10,0.998285831,0
gene-si:ch211-132g1.7|si:ch211-132g1.7,0.917420373,0.000270903,0.971992838,0.007771421,0.998285831,0.006116109
gene-LOC108187381|LOC108187381,NA,NA,NA,NA,NA,NA
gene-atp1a1a.4|atp1a1a.4,0.9897721,6.81E-29,0.767677201,1.46E-25,0.998285831,0
gene-atp1a1a.1|atp1a1a.1,0.008279489,3.17E-177,0.107591741,1.51E-154,0.998285831,0
gene-atp1a1a.2|atp1a1a.2,NA,0.40020853,0.064798024,0.677451307,0.998285831,0.568198941
gene-atp1a1a.3|atp1a1a.3,0.127444898,0.001680836,0.003551386,1.13E-10,0.998285831,2.34E-11
gene-atp1a1a.5|atp1a1a.5,NA,0.48621023,0.096513625,0.577274525,0.998285831,0.667962916
gene-oxgr1a.1|oxgr1a.1,NA,0.402502926,0.377930047,0.00528255,0.998285831,0.118486233
gene-oxgr1a.3|oxgr1a.3,NA,NA,NA,NA,0.998285831,0.999999923
gene-oxgr1a.2|oxgr1a.2,NA,0.199363118,NA,0.041063769,0.998285831,0.21255854
gene-mbnl2|mbnl2,0.982245356,2.72E-225,0.306481452,7.76E-198,0.998285831,0
gene-rap2ab|rap2ab,0.704380983,0.117710016,0.871679784,2.42E-07,0.998285831,0.000199503
gene-kpnb3|kpnb3,0.019680112,2.92E-58,3.11E-08,2.44E-182,0.999996977,0
gene-ggact.1|ggact.1,NA,NA,NA,NA,0.998285831,0.999999923
gene-si:ch211-235f1.3|si:ch211-235f1.3,0.7502296,0.464913521,0.738641734,0.002151959,0.998285831,0.199125826
gene-farp1|farp1,0.77238479,1.07E-07,0.121267831,4.16E-08,0.998285831,9.31E-11
STRG.72|mir92a-1,NA,0.196195377,0.991382494,0.984781726,0.998285831,0.999999923
gene-mir92a-1|mir92a-1,NA,0.080156051,0.91338436,0.817598085,0.998285831,0.850797968
gene-gpc6a|gpc6a,0.449819497,3.61E-09,0.771178923,0.003433242,0.998285831,2.53E-07
gene-LOC110439758|LOC110439758,NA,0.547910844,NA,0.045511745,0.998285831,0.402311656
gene-gpc5a|gpc5a,0.669294758,6.92E-12,0.618784898,1.99E-10,0.998285831,4.08E-16
gene-LOC103910100|LOC103910100,NA,4.94E-06,0.962467182,3.12E-07,0.998285831,1.53E-08
gene-LOC101887188|LOC101887188,NA,0.176253158,NA,0.052852259,0.998285831,0.229880259
gene-slitrk6|slitrk6,0.866764799,0.008737146,0.768053678,0.000559472,0.998285831,0.008912206
gene-LOC101882161|LOC101882161,NA,0.177361785,NA,0.340729273,NA,0.330163696
gene-LOC103911774|LOC103911774,NA,0.008888928,NA,0.587627682,0.998285831,0.160439245
gene-slitrk1|slitrk1,3.13E-05,0.416816789,0.499362433,0.002472926,0.998285831,0.000187357
gene-spry2|spry2,0.827054859,0.054610191,0.88749001,0.972195047,0.998285831,0.929534017
gene-ndfip2|ndfip2,0.000528539,6.05E-41,0.421576921,3.15E-90,0.998285831,0
gene-tuba8l2|tuba8l2,0.30792905,0.086015137,0.437884679,9.05E-05,0.998285831,0.00407028
gene-mnx2b|mnx2b,NA,0.860173105,0.896864255,0.15346225,0.998285831,0.983077405
gene-stk16|stk16,0.846099776,0.034324874,0.606590218,7.38E-06,0.998285831,0.000901453
gene-cpo|cpo,NA,0.292248215,0.644873923,0.003311305,0.998285831,0.101716438
gene-fn1b|fn1b,0.649740612,2.15E-52,1.13E-05,9.85E-22,0.998285831,0
gene-atic|atic,0.922522156,1.16E-144,0.000160279,1.75E-188,0.998285831,0
gene-nrp2a|nrp2a,0.01260806,0.127639201,0.072244072,0.018437585,0.998285831,0.006698408
gene-pard3ba|pard3ba,0.555234084,1.75E-07,0.002894732,1.01E-24,0.998285831,0
gene-abcb6a|abcb6a,0.163227825,2.59E-16,0.049088121,9.03E-25,0.998285831,0
gene-cnppd1|cnppd1,0.000269038,0.000728242,0.537270687,0.03639615,0.998285831,6.19E-05
gene-prkag3a|prkag3a,0.541692984,6.52E-05,0.084428909,1.91E-11,0.998285831,1.63E-11
gene-retreg2|retreg2,0.013954272,0.114944232,0.749431076,6.40E-06,0.998285831,0.000106352
gene-mdh1b|mdh1b,0.467997124,5.25E-10,0.076358205,2.84E-29,0.998285831,0
gene-fastkd2|fastkd2,0.761711937,4.34E-54,0.343246395,1.77E-51,0.998285831,0
gene-gtf3c3|gtf3c3,0.038821757,2.78E-15,0.678798614,9.36E-35,0.998285831,0
gene-hecw2b|hecw2b,0.008345449,0.000212235,0.331099213,2.81E-28,0.998285831,0
gene-si:ch211-93g23.2|si:ch211-93g23.2,NA,0.044662796,NA,0.000114619,0.998285831,0.000901453
gene-klf7a|klf7a,0.721205738,0.055650462,0.86531828,3.52E-06,0.998285831,0.000861348
gene-ube2f|ube2f,0.721020339,9.22E-23,0.880941553,7.20E-40,0.998285831,0
gene-LOC108184914|LOC108184914,NA,0.307482137,NA,0.241349379,0.998285831,0.673150041
gene-erbb4a|erbb4a,0.667450231,0.909348501,0.002212972,0.726825609,0.998285831,0.263231452
gene-si:ch73-383l1.1|si:ch73-383l1.1,0.9817937,0.822312197,0.619807533,0.919469115,0.998285831,0.999999923
gene-mylz3|mylz3,0.597911646,3.45E-07,0.108275284,1.64E-31,0.998285831,0
gene-lancl1|lancl1,0.316760983,7.05E-17,0.803185674,3.48E-55,0.998285831,0
gene-mxa|mxa,NA,5.98E-09,0.539593494,4.40E-28,0.998285831,0
gene-mxb|mxb,NA,4.69E-11,0.413637317,5.92E-11,0.998285831,0
gene-efnb2b|efnb2b,0.940630477,0.310878901,0.258718135,0.000151915,0.998285831,0.020611646
gene-pcnp|pcnp,1.16E-11,3.97E-32,0.721165284,1.15E-30,0.998285831,0
gene-arglu1b|arglu1b,1.72E-18,0.001637952,0.078836588,0.012429093,0.998285831,0
gene-en1b|en1b,0.009955373,1.67E-06,0.51747553,2.60E-11,0.998285831,1.18E-13
gene-radil|radil,0.80330928,0.024152536,0.992263841,0.188707929,0.998285831,0.467031788
gene-wu:fc47e11|wu:fc47e11,0.111413037,1.15E-05,0.706169017,0.003071714,0.998285831,4.81E-05
gene-si:dkeyp-9d4.2|si:dkeyp-9d4.2,NA,3.29E-11,0.438995789,1.23E-12,0.998285831,0
gene-si:dkey-79f11.10|si:dkey-79f11.10,NA,0.004576088,0.98761657,8.00E-06,0.000410422,1.14E-07
gene-si:dkey-79f11.9|si:dkey-79f11.9,NA,0.66140339,NA,0.338727058,0.998285831,0.962818276
gene-si:dkey-79f11.7|si:dkey-79f11.7,NA,0.618842811,0.072142867,0.425628128,0.998285831,0.586142477
gene-si:dkey-79f11.5|si:dkey-79f11.5,NA,NA,NA,NA,0.998285831,0.999999923
gene-LOC103911848|LOC103911848,NA,NA,NA,0.373639582,0.998285831,0.901302934
gene-si:dkeyp-9d4.5|si:dkeyp-9d4.5,NA,0.832104185,0.958615788,0.124341278,0.998285831,0.951193017
gene-LOC101882918|LOC101882918,0.774186588,0.010227421,0.087129446,0.00045862,0.998285831,0.001729662
gene-grapb|grapb,0.041780897,1.95E-06,0.511980267,3.36E-42,0.998285831,0
gene-cacna1hb|cacna1hb,0.102321816,0.870887008,0.70117941,0.000192846,0.998285831,0.021253342
gene-si:dkeyp-9d4.3|si:dkeyp-9d4.3,0.004782524,0.167153435,0.002478907,0.000532064,0.998285831,2.24E-05
gene-myo15ab|myo15ab,NA,2.15E-16,0.411871554,1.75E-48,0.998285831,0
gene-alkbh5|alkbh5,0.823118506,4.44E-05,0.432085376,4.47E-24,0.998285831,0
gene-syngr3b|syngr3b,0.556776064,0.002783466,0.87963862,1.32E-18,0.998285831,1.61E-15
gene-mief2|mief2,0.290418704,0.022653767,0.802788267,6.59E-05,0.998285831,0.001852446
gene-smcr8b|smcr8b,0.765847081,0.027348183,0.390254473,0.000115534,0.390225179,0.001931778
gene-zgc:112980|zgc:112980,0.236022629,1.13E-87,0.176458251,2.99E-100,0.998285831,0
gene-LOC110439701|LOC110439701,NA,0.472547244,NA,NA,0.998285831,0.97823529
gene-ptcd1|ptcd1,0.750815961,1.92E-11,0.970943176,7.13E-41,0.998285831,0
gene-si:ch211-160d14.9|si:ch211-160d14.9,0.024211993,0.564819565,0.069338409,0.017645904,0.998845549,0.026251577
gene-LOC101883376|LOC101883376,NA,0.4554315,0.958897313,NA,0.998285831,0.999999923
gene-zgc:153118|zgc:153118,0.063030025,5.40E-25,0.892658834,5.92E-22,0.998285831,0
gene-si:ch211-160d14.6|si:ch211-160d14.6,0.000380483,5.69E-09,0.657717084,7.12E-12,0.998285831,0
gene-fbxl18|fbxl18,0.64281772,1.64E-17,0.79772427,3.23E-47,0.998285831,0
gene-abcg2b|abcg2b,NA,0.02116313,NA,0.26530323,0.998285831,0.167943499
gene-fscn1b|fscn1b,0.005971345,0.017824783,0.694316628,0.000166223,0.998285831,0.00015229
gene-actb1|actb1,0.074657847,5.70E-56,0.267298493,1.48E-296,0.998285831,0
gene-zgc:77849|zgc:77849,0.000229231,3.97E-29,0.147304387,4.97E-39,0.998285831,0
gene-si:ch73-191k20.1|si:ch73-191k20.1,NA,0.000638486,NA,0.120961184,0.998285831,0.007884099
gene-socs1b|socs1b,0.887903171,0.001739104,0.762547508,6.19E-09,0.998285831,3.92E-07
gene-LOC103911865|LOC103911865,0.971677435,0.664021344,0.968855034,0.082623108,0.998285831,0.973676208
gene-si:ch73-191k20.4|si:ch73-191k20.4,0.846099776,4.71E-10,0.927211855,6.00E-06,0.998285831,4.00E-10
gene-tlr2|tlr2,NA,0.472297965,0.92512228,0.601118063,0.998285831,0.999999923
gene-grin2ab|grin2ab,0.000437313,1.59E-24,0.428502831,2.44E-07,0.998285831,0
gene-si:ch211-14k19.8|si:ch211-14k19.8,0.125054035,0.031101584,0.08884121,3.15E-09,0.998285831,8.01E-08
gene-palb2|palb2,0.703256319,0.000738372,0.046180465,1.25E-33,0.9991333,0
gene-prkcba|prkcba,0.100863646,0.050222296,0.785216836,0.113202568,0.998285831,0.178794889
gene-ndufab1a|ndufab1a,0.90620943,0.02624187,1.72E-18,0.373557677,0.998285831,1.06E-14
gene-LOC110439775|LOC110439775,0.37182148,0.049530356,0.012568945,0.001062631,0.998285831,0.001440463
gene-zgc:152698|zgc:152698,0.368078996,0.292818936,0.160222495,0.101034338,0.998285831,0.343777174
gene-plk1|plk1,0.039915878,0.461196179,NA,0.591687508,0.998285831,0.466424296
gene-ern2|ern2,NA,0.144955303,0.98996871,0.009601646,0.998285831,0.16211808
gene-si:dkeyp-57d7.4|si:dkeyp-57d7.4,NA,NA,NA,NA,0.998285831,0.999999923
gene-zgc:136472|zgc:136472,NA,3.97E-22,0.768132513,9.26E-17,0.998285831,0
gene-gng13a|gng13a,NA,0.961257064,0.432430656,0.335243654,0.998285831,0.999999923
gene-chtf18|chtf18,0.849359078,0.037015185,0.012322247,0.000721798,0.998285831,0.001581727
gene-ubn1|ubn1,NA,NA,NA,NA,NA,NA
gene-micall2b|micall2b,0.643249382,2.49E-10,0.966432586,2.43E-58,0.998285831,0
gene-uncx4.1|uncx4.1,0.951439558,1.38E-07,0.2801077,5.27E-27,0.998285831,0
gene-pmm2|pmm2,0.000119598,1.32E-12,0.2702142,3.08E-43,0.998285831,0
gene-zgc:56409|zgc:56409,0.479687202,0.004714969,0.441264143,0.106140615,0.998285831,0.080871062
gene-rgs11|rgs11,0.409572871,0.000144064,0.748737833,8.23E-06,0.998285831,9.58E-06
gene-si:ch73-12o23.1|si:ch73-12o23.1,0.002198926,5.33E-81,0.91180747,1.90E-76,0.998285831,0
gene-elfn1b|elfn1b,0.863045538,0.784441043,0.829714364,0.146333062,0.998285831,0.999999923
gene-ugt5b1|ugt5b1,0.412515723,0.009599739,0.941058276,0.003145024,0.998285831,0.020877235
gene-ugt5b5|ugt5b5,NA,0.424830864,0.62705673,0.006337329,0.998285831,0.182033649
gene-ugt5b4|ugt5b4,0.583770152,0.049249852,0.526132503,5.26E-07,0.998285831,0.000109145
gene-ugt5b3|ugt5b3,0.078322383,0.104149259,0.639920262,0.009267605,0.998285831,0.050838152
gene-ugt5b2|ugt5b2,0.491541458,2.56E-06,0.988497722,1.15E-17,0.998285831,0
gene-mad1l1|mad1l1,0.328004928,3.30E-15,0.480557293,1.28E-61,0.998285831,0
gene-pdia2|pdia2,0.841447688,0.067049223,0.820776614,0.002356104,0.998285831,0.08224472
gene-si:dkeyp-75b4.9|si:dkeyp-75b4.9,NA,0.032764705,0.415472491,0.003661977,0.998285831,0.019528198
gene-si:dkeyp-75b4.10|si:dkeyp-75b4.10,0.439680648,1.26E-15,0.18270979,4.97E-26,0.998285831,0
gene-tmem8a|tmem8a,1.98E-05,8.28E-30,8.60E-06,3.07E-108,0.998285831,0
gene-LOC110439781|LOC110439781,NA,0.408656812,0.965502925,0.252920488,0.998285831,0.952306938
gene-si:dkeyp-75b4.8|si:dkeyp-75b4.8,NA,NA,NA,NA,0.998285831,0.999999923
gene-LOC101884122|LOC101884122,NA,0.394279197,NA,0.653816479,0.998285831,0.993104438
gene-LOC101884154|LOC101884154,0.435624338,0.125723117,0.180863448,2.88E-08,0.998285831,7.88E-06
gene-trim2b|trim2b,0.018984399,0.767504855,0.457048565,0.051853643,0.998285831,0.155622757
gene-LOC100536670|LOC100536670,NA,NA,NA,NA,0.998285831,0.999999923
gene-fgb|fgb,2.84E-05,0.320214796,0.861040934,0.016528633,0.998285831,0.000898615
gene-fga|fga,0.000369451,0.280866106,0.769399373,0.013062559,0.434451551,0.002239896
gene-rbm46|rbm46,NA,6.98E-96,NA,2.98E-38,0.998285831,0
gene-lratb.2|lratb.2,NA,0.745099586,0.959991347,0.000301938,0.998285831,0.052238703
gene-rnf175|rnf175,0.934686009,0.764501321,0.432908656,0.001532383,0.998285831,0.183676935
gene-lratb|lratb,0.44947299,0.035837886,0.526228602,0.0317209,0.998285831,0.136203269
gene-npy2rl|npy2rl,0.008523465,0.15363575,0.903408942,0.003162933,0.998285831,0.009796153
gene-eif3f|eif3f,0.463526433,0.00839716,0.055129486,4.64E-06,0.998285831,2.14E-05
gene-zgc:77880|zgc:77880,0.189921146,0.077976973,0.104103845,0.000880342,0.998285831,0.004877869
gene-tmem55bb|tmem55bb,0.900161067,0.247477757,0.920939923,5.80E-08,0.998285831,0.000148612
gene-LOC557811|LOC557811,0.797706931,0.981924156,0.492950513,0.143576983,0.998285831,0.983769044
gene-dachb|dachb,0.527557351,0.946061661,0.958487782,0.007737269,0.998285831,0.470429679
gene-zgc:174945|zgc:174945,NA,0.339326416,NA,0.359673941,0.998285831,0.810726365
gene-tnrc5|tnrc5,0.032392815,0.193149488,0.913624115,0.48231087,0.998285831,0.418348671
gene-trpc5a|trpc5a,0.448036387,0.000121529,0.941995379,2.74E-08,0.998285831,9.93E-08
gene-si:dkey-31e10.1|si:dkey-31e10.1,NA,0.002150266,0.975600063,0.452217712,0.998285831,0.130761238
gene-si:dkey-31e10.6p|si:dkey-31e10.6p,NA,0.30947645,0.683683328,0.206873282,0.998285831,0.779843297
gene-zgc:103678|zgc:103678,0.715413429,0.005785375,0.801495957,0.009572129,0.998845549,0.039235288
gene-si:dkey-31e10.5|si:dkey-31e10.5,NA,0.135947902,0.801781472,8.04E-06,0.998285831,0.00099265
gene-LOC100334711|LOC100334711,NA,0.000868532,0.881867768,0.016886393,0.998285831,0.007499607
gene-crfb15|crfb15,NA,6.14E-14,0.118206769,5.87E-16,0.998285831,0
gene-si:ch73-222h13.1|si:ch73-222h13.1,0.960708728,9.11E-191,4.19E-08,2.88E-57,0.998285831,0
gene-atp1b1b|atp1b1b,0.621123342,0.006406781,2.93E-15,7.41E-22,0.998285831,0
gene-knstrn|knstrn,0.000260857,0.647383058,0.054801213,0.04988563,0.998285831,0.002267156
gene-casc5|casc5,0.543463728,3.06E-05,0.302196092,0.326948167,0.998285831,0.005575924
gene-si:dkey-26i13.6|si:dkey-26i13.6,NA,NA,NA,0.427312687,0.998285831,0.945542497
gene-si:dkey-26i13.4|si:dkey-26i13.4,NA,NA,NA,NA,0.998285831,0.999999923
gene-si:dkey-26i13.5|si:dkey-26i13.5,NA,0.194922787,0.592406543,0.116520003,0.998285831,0.509891779
gene-si:dkey-26i13.3|si:dkey-26i13.3,NA,0.059579142,0.475331717,0.006270496,0.998285831,0.045953343
gene-LOC797518|LOC797518,0.997230677,8.88E-06,0.851364469,3.15E-06,0.998285831,1.04E-06
gene-dmd|dmd,0.223939047,1.16E-27,0.165203797,1.62E-43,0.998285831,0
gene-sdk1b|sdk1b,0.276321533,0.528626076,0.210246552,0.33445109,0.998285831,0.672260682
gene-chst12b|chst12b,NA,0.023403487,0.223110187,7.12E-05,0.998285831,0.000508822
gene-si:dkey-26i13.8|si:dkey-26i13.8,0.715477562,2.36E-45,0.012910554,6.79E-05,0.998285831,0
gene-zmp:0000001069|zmp:0000001069,0.954246424,0.330408984,0.841509455,0.260744998,0.998285831,0.999999923
gene-brat1|brat1,0.594020915,0.159531562,0.706224037,0.321127027,0.998285831,0.821922421
gene-eif3bb|eif3bb,0.712894811,0.000157532,0.591715474,7.96E-07,0.998285831,2.01E-06
gene-snx8b|snx8b,0.766196544,0.017383055,0.34056954,4.53E-05,0.998285831,0.001263162
gene-iqce|iqce,0.017650902,9.76E-113,0.052868965,8.61E-64,0.998285831,0
gene-ttyh3b|ttyh3b,0.000661613,0.022892722,0.866738583,1.44E-18,0.998285831,0
gene-grk4|grk4,0.534568109,1.64E-27,0.922017463,2.34E-54,0.9991333,0
gene-tspan5b|tspan5b,0.699109324,0.921211196,0.876923278,2.23E-06,0.998285831,0.00462897
gene-slc24a2|slc24a2,0.503629017,1.42E-09,0.000832866,3.99E-34,0.998285831,0
gene-LOC110439783|LOC110439783,0.750221711,2.18E-76,0.3892585,9.04E-142,0.998285831,0
gene-pla2g12a|pla2g12a,0.391882116,0.136772777,0.933860096,0.007508507,0.998285831,0.162574849
gene-saraf|saraf,0.197437075,0.329858481,0.914400392,0.144527562,0.999052375,0.635777609
gene-spink4|spink4,NA,0.929237774,0.569773632,0.005617707,0.90393389,0.235358951
gene-mtp|mtp,NA,0.067592314,0.724980903,0.007029917,0.998285831,0.070427501
gene-b4galt1|b4galt1,NA,1.20E-05,0.528432342,1.30E-09,0.998285831,1.55E-10
gene-stra6l|stra6l,NA,1.28E-12,0.839610579,0.000309875,0.998285831,8.66E-12
gene-xpa|xpa,0.530122334,0.144393765,0.704552263,3.20E-07,0.998285831,0.000197523
gene-tdrd7a|tdrd7a,NA,3.53E-21,0.496912524,5.23E-28,0.806308823,0
gene-tmod1|tmod1,0.687735611,3.11E-12,0.640174042,3.31E-16,0.998285831,0
gene-cplx2l|cplx2l,0.003365774,0.042040831,0.766723228,5.26E-07,0.998285831,2.14E-06
gene-gne|gne,0.370834327,2.02E-16,0.610270797,1.37E-43,0.998285831,0
gene-nansa|nansa,0.133122007,4.22E-195,0.136335484,1.34E-58,0.998285831,0
gene-LOC103911926|LOC103911926,NA,0.122224916,0.541118365,0.854591086,0.998285831,0.837823905
gene-clta|clta,0.074971145,3.78E-21,0.309627147,8.06E-35,0.998285831,0
gene-zgc:77739|zgc:77739,0.06014681,1.45E-06,0.875392592,2.61E-37,0.998285831,0
gene-sclt1|sclt1,0.934608798,0.148188371,0.690034183,0.199079446,0.998285831,0.798162312
gene-si:dkeyp-106c3.2|si:dkeyp-106c3.2,NA,0.022441763,0.84360382,0.00078522,0.998285831,0.008292005
gene-pcdh10a|pcdh10a,0.423794118,0.014790555,0.104870241,0.001799033,0.998285831,0.004428273
gene-LOC101886790|LOC101886790,NA,NA,NA,NA,NA,NA
gene-LOC101886760|LOC101886760,NA,NA,NA,NA,NA,NA
gene-LOC101886839|LOC101886839,NA,0.000212616,0.87904715,6.02E-05,0.999052375,3.07E-05
gene-pcdh18a|pcdh18a,0.181534982,0.688920234,0.622468003,0.771593284,0.998285831,0.994776273
gene-mgarp|mgarp,0.644539534,2.83E-38,0.467429068,6.47E-47,0.998285831,0
gene-noctb|noctb,0.591325947,1.88E-08,0.934272077,9.10E-09,0.998285831,2.54E-11
gene-elf2b|elf2b,0.22759991,3.58E-30,0.687560512,0.302200282,0.998463915,0
gene-hpf1|hpf1,8.91E-06,2.36E-90,0.000136434,1.84E-31,0.998285831,0
gene-ank2a|ank2a,0.567016502,2.90E-19,0.000513475,1.30E-42,0.998285831,0
gene-LOC101887098|LOC101887098,NA,NA,NA,0.198318244,0.998285831,0.674071183
gene-pde5aa|pde5aa,0.841838625,8.14E-06,0.138971186,1.70E-07,NA,2.18E-09
gene-wfs1a|wfs1a,0.691170019,3.31E-10,0.396601087,3.86E-21,0.998285831,0
gene-camk2d2|camk2d2,0.016550729,0.011220757,0.904650438,0.00028993,0.998285831,0.000433511
gene-ppp2r2ca|ppp2r2ca,0.003131547,1.55E-17,0.996569467,2.70E-08,0.998285831,0
gene-LOC567498|LOC567498,0.833938032,0.066170971,0.607573907,0.017088867,0.998285831,0.202511548
gene-crmp1|crmp1,0.006800069,0.046505549,0.170872882,2.25E-12,0.998285831,3.17E-11
gene-slc34a2a|slc34a2a,NA,0.931089076,NA,0.001846258,0.999640399,0.077094708
gene-slc34a2aas|slc34a2aas,NA,0.002826232,0.772899945,1.64E-14,0.998285831,1.15E-12
gene-LOC101882365|LOC101882365,NA,0.044442196,NA,0.807240595,0.998285831,0.484266623
gene-stim2a|stim2a,NA,0.000527441,0.927673398,8.67E-07,0.998285831,2.00E-06
gene-rbpja|rbpja,0.002216652,0.347586459,0.059514005,0.601182754,0.998285831,0.035911324
gene-LOC553528|LOC553528,0.08738192,0.500494845,0.909220526,0.891321329,0.998285831,0.913755121
gene-fip1l1b|fip1l1b,0.471954579,0.000704917,0.002219869,0.000295218,0.998285831,6.35E-06
gene-chic2|chic2,0.852081653,5.51E-22,0.977566894,6.87E-64,0.998285831,0
