,gene_ID,average_log2FoldChange,adjpval
gene-si:ch73-160h15.3,si:ch73-160h15.3,-2.099516707,4.70E-14
gene-pknox1.2,pknox1.2,-1.546561066,0
gene-lrrc58a,lrrc58a,-3.148511605,4.66E-10
gene-fstl1a,fstl1a,-2.264031675,3.22E-08
gene-neurl1aa,neurl1aa,-2.10732312,8.37E-09
gene-cfap58,cfap58,-4.108789274,0
gene-LOC101886909,LOC101886909,-2.631764724,0.001604442
gene-LOC100332340,LOC100332340,-2.179140224,7.51E-09
gene-zp3c,zp3c,1.977230784,0
gene-si:ch211-281g13.4,si:ch211-281g13.4,-2.846139168,0
gene-tsga10,tsga10,-2.222832504,0
gene-col17a1a,col17a1a,-3.313072983,0
gene-npnt,npnt,-1.691643091,0.001008152
gene-dkk2,dkk2,-2.639631079,0.000669144
gene-pkd2,pkd2,-2.401651397,0
gene-LOC101885315,LOC101885315,-2.421259961,4.55E-10
gene-fam13a,fam13a,-1.709781745,0
gene-jag1a,jag1a,-2.509927492,0
gene-srd5a2a,srd5a2a,-1.890982812,0.00111919
gene-spred2a,spred2a,-2.031871171,5.96E-07
gene-meis1a,meis1a,-1.611833839,0
gene-ppp3r1b,ppp3r1b,-1.605481105,0
gene-cnrip1a,cnrip1a,-2.026269184,0
gene-junba,junba,-1.626684572,0
gene-LOC110437879,LOC110437879,-1.58059611,0.021509314
gene-LOC103909284,LOC103909284,-1.980490091,0
gene-si:ch211-217k17.11,si:ch211-217k17.11,-1.823558696,0
gene-si:ch211-217k17.9,si:ch211-217k17.9,-3.979562036,1.00E-06
gene-tacr3l,tacr3l,-4.185990096,0
gene-acy3.2,acy3.2,-3.470986108,0
gene-LOC108190353,LOC108190353,-3.252246838,0
gene-abca1a,abca1a,-1.93992963,0
gene-inpp4b,inpp4b,-1.753021959,0
gene-LOC103908636,LOC103908636,-3.111599576,0.000337598
gene-fam161a,fam161a,-2.776528619,0
gene-capn9,capn9,-2.128110212,3.23E-14
gene-ccsapa,ccsapa,-1.733202587,2.35E-08
gene-triobpa,triobpa,-2.192564013,0
gene-dla,dla,-2.291928118,0
gene-rln3b,rln3b,-2.253712163,0.031551424
gene-LOC100008366,LOC100008366,-2.109447547,0
gene-pkd1a,pkd1a,-1.753378572,0
gene-wu:fj19g03,wu:fj19g03,-1.763653576,0
gene-si:ch211-202h22.10,si:ch211-202h22.10,-2.554709705,1.28E-08
gene-si:ch211-202h22.9,si:ch211-202h22.9,-1.869218338,9.72E-07
gene-tekt4,tekt4,-2.469193529,0
gene-gprc5bb,gprc5bb,-2.274725069,0.001411495
gene-golga7ba,golga7ba,-2.52609709,0
gene-si:ch211-196h16.12,si:ch211-196h16.12,-3.716091368,0
gene-lgalsla,lgalsla,-1.564266641,0
gene-si:ch211-286b5.2,si:ch211-286b5.2,-3.771271562,0
gene-si:ch211-286b5.6,si:ch211-286b5.6,-4.052917928,3.93E-07
gene-si:dkey-9c18.3,si:dkey-9c18.3,1.737564553,9.90E-08
gene-adgre15,adgre15,-1.989690363,4.84E-11
gene-adgre9,adgre9,-1.921155633,0
gene-zgc:136908,zgc:136908,-2.305735047,3.86E-06
gene-samd1b,samd1b,-1.890508423,0
gene-c3a.6,c3a.6,-3.421221368,0
gene-si:dkey-76b14.2,si:dkey-76b14.2,-1.740692669,0
gene-c3a.2,c3a.2,2.02495202,5.30E-05
gene-LOC101886975,LOC101886975,-1.775823392,0.042791964
gene-si:dkey-27j5.8,si:dkey-27j5.8,-2.030728671,0.005282386
gene-mycbpap,mycbpap,-2.034098537,0
gene-si:dkey-27j5.5,si:dkey-27j5.5,-3.183540447,2.95E-08
gene-epn3b,epn3b,-3.878168148,0
gene-si:ch211-114l13.12,si:ch211-114l13.12,-2.56895271,1.57E-05
gene-caspbl,caspbl,-1.936989249,0.00336111
gene-zgc:194906,zgc:194906,-1.864908971,0.008017869
gene-LOC100334101,LOC100334101,-2.487063472,0.021600592
gene-si:ch211-114l13.13,si:ch211-114l13.13,-2.288611072,0.015939419
gene-soul5l,soul5l,-1.979756886,5.52E-05
gene-wu:fk65c09,wu:fk65c09,-2.344695362,1.92E-06
gene-LOC103909566,LOC103909566,-2.623168079,0.001805141
gene-sh2d3a,sh2d3a,-2.804157043,0
gene-slc27a1b,slc27a1b,-2.095336079,0
gene-adgre5b.2,adgre5b.2,-1.706391494,0
gene-si:ch73-236c18.7,si:ch73-236c18.7,-2.287210092,6.96E-06
gene-LOC101884937,LOC101884937,-2.62276622,5.17E-11
gene-LOC101884985,LOC101884985,-2.623015431,0
gene-LOC101884341,LOC101884341,-3.752513297,1.02E-14
gene-LOC103909543,LOC103909543,-2.521323382,3.58E-15
gene-LOC108190761,LOC108190761,-2.602350144,1.04E-06
gene-zgc:171687,zgc:171687,-2.78781942,0.000737471
gene-LOC100007488,LOC100007488,-1.743036338,0.001143891
gene-si:zfos-2330d3.1,si:zfos-2330d3.1,-2.076140778,3.57E-09
gene-si:zfos-2330d3.8,si:zfos-2330d3.8,-1.793681391,3.57E-14
gene-si:ch1073-110a20.2,si:ch1073-110a20.2,-2.337281305,4.99E-08
gene-si:ch1073-110a20.3,si:ch1073-110a20.3,-1.608949541,2.96E-12
gene-si:ch1073-110a20.1,si:ch1073-110a20.1,-1.853547252,0
gene-col5a3b,col5a3b,-3.398991514,0
gene-rdh8b,rdh8b,-1.871547171,0
gene-zgc:158345,zgc:158345,-1.560388855,2.19E-06
gene-LOC101884938,LOC101884938,-1.685505183,1.70E-05
gene-LOC101885099,LOC101885099,-2.67219036,0.006312349
gene-si:dkey-33c14.6,si:dkey-33c14.6,-2.108229808,0
gene-ftr93,ftr93,-3.411951983,2.54E-07
gene-foxq1a,foxq1a,-2.747713972,0.000262057
gene-irf4a,irf4a,-3.695468511,3.19E-15
gene-si:ch73-40a17.3,si:ch73-40a17.3,-2.01826729,0
gene-adcy1b,adcy1b,-1.795751254,0.001240445
gene-LOC100332787,LOC100332787,-1.782092642,8.84E-10
gene-LOC570723,LOC570723,-1.521882717,0
gene-dusp22b,dusp22b,-2.305028896,0
gene-ripk1l,ripk1l,-2.538458864,2.21E-09
gene-si:ch211-241e1.3,si:ch211-241e1.3,-3.145388708,0
gene-LOC100331149,LOC100331149,-1.921650751,0
gene-dsg2l,dsg2l,-2.264628418,0
gene-dab1b,dab1b,-4.854493576,0
gene-bcl10,bcl10,-1.687199556,0.001319761
gene-mcoln3a,mcoln3a,-2.318333212,7.36E-08
gene-dspa,dspa,-1.541869228,0
gene-myl13,myl13,-1.678839304,0.006961561
gene-pth1ra,pth1ra,-2.664856614,1.94E-05
gene-ccdc13,ccdc13,-3.442318178,0
gene-aqp1a.2,aqp1a.2,-1.729038131,0.000132505
gene-si:ch1073-82l19.1,si:ch1073-82l19.1,-2.01224054,0
gene-LOC100331480,LOC100331480,-2.901443422,0
gene-mfn1a,mfn1a,-1.660935676,1.20E-06
gene-dusp28,dusp28,-2.216947235,0.002816227
gene-crfb16,crfb16,-2.37845057,0.030559515
gene-fgf12a,fgf12a,-2.191479394,8.22E-09
gene-nyap2b,nyap2b,-2.356656524,0.002275907
gene-si:ch211-168b3.1,si:ch211-168b3.1,-2.439716556,0
gene-zte38,zte38,-3.381827522,0
gene-si:ch73-344o19.1,si:ch73-344o19.1,-2.731619114,0
gene-vcam1a,vcam1a,-1.914705366,1.95E-09
gene-cdc14aa,cdc14aa,-3.076997249,0
gene-si:ch211-13f8.1,si:ch211-13f8.1,-3.611424494,5.43E-09
gene-ccdc39,ccdc39,-3.278260859,0
gene-LOC103909784,LOC103909784,-1.581773832,0.015378771
gene-si:ch211-71m22.5,si:ch211-71m22.5,-3.453334354,0.018590476
gene-dmbx1a,dmbx1a,-2.043853537,0.011106406
gene-LOC108179505,LOC108179505,-2.796767437,3.88E-06
gene-ftr01,ftr01,2.264527486,1.41E-09
gene-LOC110437990,LOC110437990,-2.545639844,2.93E-08
gene-cfap57,cfap57,-3.879904406,0
gene-LOC100331996,LOC100331996,-2.430776364,0
gene-LOC103909885,LOC103909885,-1.600692015,0.001586276
gene-tctex1d1,tctex1d1,-2.391613005,0
gene-si:dkey-34k9.3,si:dkey-34k9.3,-1.611080698,4.08E-16
gene-si:dkey-231j24.3,si:dkey-231j24.3,-1.739836662,0.030066897
gene-LOC103910036,LOC103910036,-2.480492669,6.81E-14
gene-atp1b3a,atp1b3a,-1.722874683,0
gene-pif1,pif1,1.885655401,0
gene-pimr54,pimr54,-3.62098688,0
gene-LOC110438023,LOC110438023,-3.79624007,0
gene-pimr51,pimr51,-2.62840664,0
gene-LOC110438024,LOC110438024,-4.214953759,8.05E-14
gene-plppr5a,plppr5a,-2.521218096,1.99E-05
gene-LOC108179662,LOC108179662,-2.826912335,1.12E-10
gene-si:ch211-153l6.6,si:ch211-153l6.6,-2.706234536,7.32E-06
gene-olfml2bb,olfml2bb,-2.992012561,3.81E-07
gene-nebl,nebl,-1.838077929,2.93E-06
gene-inhbab,inhbab,-4.349584299,0
gene-pimr65,pimr65,-2.57643925,0
gene-pimr66,pimr66,-1.943983293,0
gene-pimr67,pimr67,-2.404716517,0
gene-cldn18,cldn18,-2.087532134,0.000761272
gene-hfm1,hfm1,-2.416655025,0
gene-espnlb,espnlb,-1.941007191,7.02E-05
gene-kif1ab,kif1ab,-2.455212699,0
gene-rab6bb,rab6bb,-1.685727709,0
gene-prrx1a,prrx1a,-1.840981217,0
gene-LOC561283,LOC561283,-3.808441838,0
gene-LOC100007785,LOC100007785,-3.455039153,0
gene-si:dkey-24c2.9,si:dkey-24c2.9,-1.875736523,0.006427179
gene-col15a1b,col15a1b,-1.885232299,0
gene-map4l,map4l,-2.259029061,0
gene-plvap,plvap,-2.092810423,0
gene-zgc:154006,zgc:154006,-3.380411198,4.10E-14
gene-insl3,insl3,-1.714291917,1.28E-05
gene-si:rp71-39b20.4,si:rp71-39b20.4,-1.537727683,0.001215135
gene-LOC108179692,LOC108179692,-1.592266662,9.41E-15
gene-agtr1a,agtr1a,-2.192885355,0
gene-stag1a,stag1a,-1.889349224,0
gene-si:ch211-106k21.5,si:ch211-106k21.5,-1.781714791,0
gene-LOC101883238,LOC101883238,-1.970718053,0.000798753
gene-ttpa,ttpa,-1.782237465,0
gene-lyn,lyn,-1.718189956,0
gene-si:dkey-188g12.1,si:dkey-188g12.1,-2.116216936,0
gene-htr5aa,htr5aa,1.514561869,0
gene-en2b,en2b,-3.081226905,0
gene-rdh10b,rdh10b,1.588796929,0
gene-kcnb2,kcnb2,-1.693929928,0
gene-tmem70,tmem70,1.604564507,0
gene-pi15b,pi15b,-1.962983726,3.65E-06
gene-cbln2a,cbln2a,-2.495714958,0.017378966
gene-ctnnd2b,ctnnd2b,-2.229118622,0
gene-emilin2a,emilin2a,-1.685089706,6.96E-13
gene-clul1,clul1,-1.819081076,5.94E-05
gene-si:ch211-106h4.4,si:ch211-106h4.4,-1.593473741,0
gene-LOC110438058,LOC110438058,-4.539842657,0
gene-si:ch211-106h4.5,si:ch211-106h4.5,-5.915365038,0
gene-si:ch211-106h4.12,si:ch211-106h4.12,-2.322793764,0
gene-si:ch211-106h4.9,si:ch211-106h4.9,-2.057753496,0
gene-ralyl,ralyl,-2.347430806,2.57E-13
gene-amph,amph,-1.981360013,1.09E-13
gene-asap1a,asap1a,-1.638844013,0
gene-LOC110438071,LOC110438071,-4.153745104,0.003896285
gene-bfsp2,bfsp2,-1.785547754,8.11E-09
gene-zgc:136930,zgc:136930,-1.764676368,3.45E-07
gene-ccr9a,ccr9a,-1.89956903,0
gene-LOC101887149,LOC101887149,-1.956179283,0
gene-opn4.1,opn4.1,-2.262733287,0
gene-LOC110438072,LOC110438072,-1.720241399,0
gene-zgc:113531,zgc:113531,-1.911496824,7.55E-10
gene-slc6a9,slc6a9,-1.573192441,0
gene-ccdc24,ccdc24,-3.746150257,0
gene-b4galt2,b4galt2,-1.784083699,1.50E-05
gene-ptch2,ptch2,-2.056812779,0.000919877
gene-si:dkey-4i23.5,si:dkey-4i23.5,-2.495013051,0.00645103
gene-LOC101886155,LOC101886155,-3.300546164,0.000462783
gene-lamc2,lamc2,-1.611397498,0
gene-nmnat2,nmnat2,-1.556540041,9.16E-08
gene-LOC103910071,LOC103910071,-2.320862583,0.026635202
gene-map1sb,map1sb,-1.926160237,0
gene-slc1a8b,slc1a8b,-2.941497946,0.009660703
gene-LOC103910072,LOC103910072,-2.520876484,0.000832886
gene-gpr160,gpr160,1.63445349,0
gene-hbl1,hbl1,-2.953491048,1.27E-09
gene-trim110,trim110,-2.54537881,1.76E-05
gene-cbln12,cbln12,-2.237001215,3.99E-07
gene-sall2,sall2,-2.211878658,1.79E-13
gene-si:ch211-14a17.10,si:ch211-14a17.10,-1.942559089,0.001516139
gene-lrrc16b,lrrc16b,-1.587447611,0.026390399
gene-rbp2b,rbp2b,2.092582344,0.001939907
gene-clstn2,clstn2,1.782632835,0.00501227
gene-slc25a36a,slc25a36a,-1.810206959,0
gene-LOC101884175,LOC101884175,-1.706536971,0
gene-oc90,oc90,-2.381821563,0
gene-lrrc6,lrrc6,-2.329254014,0
gene-nrp1b,nrp1b,-3.004097838,5.06E-07
gene-slco5a1b,slco5a1b,-2.166974418,0
gene-LOC101884586,LOC101884586,-1.907946518,2.28E-09
gene-LOC103910107,LOC103910107,-2.08458574,0
gene-LOC100150565,LOC100150565,-2.444602748,0.008013117
gene-cadm3,cadm3,-3.531733643,0
gene-LOC101885494,LOC101885494,-2.1054905,0.000142726
gene-LOC101885431,LOC101885431,-2.017589463,0.012997291
gene-kcnab1b,kcnab1b,-2.679881819,2.54E-09
gene-map6d1,map6d1,-2.032080244,8.55E-05
gene-LOC100004199,LOC100004199,-1.718825665,0
gene-si:ch211-66k16.2,si:ch211-66k16.2,-2.324704475,0.000767347
gene-wdr47a,wdr47a,-2.330490763,4.79E-08
gene-fndc7a,fndc7a,-2.089849118,1.24E-11
gene-LOC110437760,LOC110437760,-1.573936861,0
gene-fam102ba,fam102ba,-2.484838161,0
gene-scg2b,scg2b,-2.984695811,0
gene-ftr19,ftr19,-1.84407452,0.002857394
gene-LOC108179111,LOC108179111,-1.932478816,7.95E-05
gene-LOC110437898,LOC110437898,-2.000275946,8.30E-06
gene-si:ch211-77g15.32,si:ch211-77g15.32,-2.419384086,1.22E-06
gene-hes6,hes6,-1.824698542,0
gene-LOC110437901,LOC110437901,-2.799129941,0.005441241
gene-kcnj9,kcnj9,-2.904112993,6.16E-06
gene-rorcb,rorcb,-1.973311272,0.002186489
gene-sema4e,sema4e,-2.173934731,0
gene-si:ch211-209f23.6,si:ch211-209f23.6,-2.232152589,4.74E-06
gene-urgcp,urgcp,-1.780787503,7.89E-05
gene-si:ch211-106n13.3,si:ch211-106n13.3,-4.090647548,4.28E-13
gene-hecw1b,hecw1b,-1.849855079,0
gene-neurod6b,neurod6b,1.920082735,0
gene-ghrhra,ghrhra,-3.409063105,2.38E-10
gene-LOC100331810,LOC100331810,-1.64073178,0.002111717
gene-LOC100000863,LOC100000863,3.247573816,0
gene-tgm1l1,tgm1l1,-1.69009819,0
gene-LOC103908620,LOC103908620,-2.243452806,2.16E-09
gene-LOC103910140,LOC103910140,-1.52674565,7.60E-05
gene-theg,theg,-2.530520019,0
gene-LOC101884669,LOC101884669,-3.273407257,1.75E-09
gene-creb3l3b,creb3l3b,-2.641356542,3.29E-12
gene-hsd11b1lb,hsd11b1lb,-2.364282026,0
gene-im:7138239,im:7138239,-2.550130225,3.08E-05
gene-capsla,capsla,-2.314653472,0
gene-LOC101882917,LOC101882917,-1.822213496,0.025860192
gene-mtcl1,mtcl1,-1.956138068,0.000110952
gene-atcayb,atcayb,-2.160684648,0.041227801
gene-si:ch211-178n15.1,si:ch211-178n15.1,-1.816251768,0.011774191
gene-rab11bb,rab11bb,-2.81624786,0
gene-LOC100536505,LOC100536505,-2.088153358,0.000355497
gene-zgc:92789,zgc:92789,-1.93064316,0
gene-LOC101882640,LOC101882640,-1.501993082,1.21E-15
gene-pnp5b,pnp5b,-1.724543689,0
gene-LOC100332698,LOC100332698,-1.551392363,9.77E-11
gene-wu:fj49a02,wu:fj49a02,-1.956272936,4.17E-08
gene-ptprsb,ptprsb,-1.62435991,1.39E-13
gene-LOC108180198,LOC108180198,-2.499896099,0.006175791
gene-ftr30,ftr30,-1.875679712,1.18E-05
gene-ftr37,ftr37,-2.983251279,0.005546669
gene-LOC101882242,LOC101882242,-1.689912022,0.000199672
gene-dicp1.1,dicp1.1,-1.605931053,9.10E-07
gene-zgc:194659,zgc:194659,-1.537032661,0
gene-dicp1.5-6,dicp1.5-6,-1.611862355,0.022282859
gene-LOC103910162,LOC103910162,1.66692941,2.37E-05
gene-zgc:172051,zgc:172051,1.52339187,0.000155791
gene-fam234b,fam234b,-2.263892949,0
gene-bglap,bglap,1.578349392,4.08E-16
gene-mgp,mgp,-2.367429462,1.62E-09
gene-polr2f,polr2f,-2.467302537,0.038058756
gene-si:ch211-254c8.2,si:ch211-254c8.2,-2.101109319,0.010041767
gene-si:dkey-217f16.5,si:dkey-217f16.5,-3.776503524,0
gene-LOC100007467,LOC100007467,-1.665571372,7.25E-08
gene-tmem184bb,tmem184bb,-3.359587887,0
gene-zgc:171426,zgc:171426,3.051813222,0
gene-zgc:171445,zgc:171445,2.265841117,0
gene-cdc42ep1b,cdc42ep1b,-1.946072843,0
gene-LOC100007754,LOC100007754,-1.866218695,0.002014492
gene-LOC103910189,LOC103910189,-1.801118839,0
gene-LOC110437770,LOC110437770,-2.519655583,0
gene-LOC571488,LOC571488,-1.540207944,0.000451931
gene-LOC100007686,LOC100007686,-2.132262112,2.11E-12
gene-LOC110439325,LOC110439325,-2.691506809,3.70E-09
gene-LOC101883028,LOC101883028,-1.561550996,0.001537096
gene-LOC101886875,LOC101886875,-2.043469739,0
gene-LOC103910192,LOC103910192,-1.952703011,3.14E-10
gene-vmo1a,vmo1a,-2.628832464,1.83E-07
gene-LOC794452,LOC794452,-2.342313148,8.13E-06
gene-LOC100333474,LOC100333474,-1.548042573,0.002307532
gene-LOC110438970,LOC110438970,-1.758900893,0
gene-mcoln1b,mcoln1b,-1.668691944,1.81E-08
gene-LOC110439327,LOC110439327,-1.833973878,0.013301159
gene-zgc:173517,zgc:173517,-1.533641821,1.09E-06
gene-zgc:109949,zgc:109949,-3.155650259,0
gene-LOC100537553,LOC100537553,-1.675432319,0.000163076
gene-LOC100332354,LOC100332354,-2.895206025,4.67E-10
gene-LOC101884857,LOC101884857,-1.553823856,0
gene-LOC100331067,LOC100331067,-2.575738513,6.86E-05
gene-sstr5,sstr5,-1.739226194,1.10E-10
gene-LOC100333256,LOC100333256,-4.22153004,6.92E-10
gene-si:dkey-254e1.1,si:dkey-254e1.1,-2.406821792,0
gene-LOC101882181,LOC101882181,-2.296728994,0.026631431
gene-LOC110438594,LOC110438594,-2.323024053,0.001800825
gene-LOC103910217,LOC103910217,-2.694152227,4.25E-06
gene-LOC108182805,LOC108182805,-2.965023186,0
gene-jmjd8,jmjd8,-1.559734438,0.000368924
gene-LOC103910220,LOC103910220,1.696795139,0.033265858
gene-syce2,syce2,-1.962324769,0
gene-ptger1b,ptger1b,-2.148506278,0.000361751
gene-LOC103910221,LOC103910221,-1.544258734,0.014773207
gene-LOC101884125,LOC101884125,-1.839218152,0.022463754
gene-rgl3b,rgl3b,-2.474525198,1.60E-07
gene-nfil3-2,nfil3-2,-1.580596502,0
gene-nfil3-6,nfil3-6,-1.823907346,0
gene-LOC101882898,LOC101882898,-1.871604814,1.97E-10
gene-si:dkey-93n13.3,si:dkey-93n13.3,-1.931089962,0
gene-phospho1,phospho1,-1.590229058,0
gene-spsb3a,spsb3a,-1.52312416,0
gene-si:dkey-81l17.6,si:dkey-81l17.6,-2.274649856,0.000254493
gene-eps8l1,eps8l1,-3.067974622,0
gene-zgc:55558,zgc:55558,2.991456686,0.002041612
gene-si:dkey-30j10.5,si:dkey-30j10.5,-2.92263506,0.000113507
gene-ttc25,ttc25,-2.897167734,0
gene-si:ch73-141c7.1,si:ch73-141c7.1,-2.17499344,0
gene-si:ch211-139g16.8,si:ch211-139g16.8,-2.082988006,0.001590643
gene-slc5a11,slc5a11,-4.139024914,0
gene-rln3a,rln3a,-2.252446807,0.002994848
gene-rfx1a,rfx1a,-2.777422574,0
gene-zgc:123297,zgc:123297,-2.379631004,0.00082634
gene-rnd2,rnd2,-2.277443272,0.047389705
gene-maptb,maptb,-2.41762888,0
gene-col1a1a,col1a1a,-1.652992673,0
gene-nr1d1,nr1d1,-2.001597851,0
gene-rapgefl1,rapgefl1,-1.597583469,4.90E-09
gene-hoxb8a,hoxb8a,-1.53723652,0.022814408
gene-LOC100536506,LOC100536506,-2.212261131,4.08E-05
gene-nfe2l1a,nfe2l1a,-2.352188881,1.82E-09
